prix,kilometrage,couleur_du_vehicule,etat_du_vehicule,boite,annee,cylindree,marque,modele,puissance_fiscale,type_de_carrosserie,carburant,kilometrage_log
10.725489582719506,288.0,Noir,Avec kilométrage,automatique,2008.0,3.0,mercedes-benz,classe ml,13.0,4 x 4,Diesel,5.666426688112432
11.719947764402807,150000.0,Noir,Avec kilométrage,automatique,2017.0,2.0,mercedes-benz,classe e,10.0,Berline,Essence,11.918397239722838
10.165890277802454,205000.0,Blanc,Nouveau,manuelle,2010.0,1.2,mini,one,5.0,Compacte,Essence,12.230770136157428
10.463131911491967,80000.0,Gris,Avec kilométrage,manuelle,2021.0,1.2,mitsubishi,inconnu,5.0,Berline,Essence,11.289794413577894
10.96476135554887,90000.0,Noir,Avec kilométrage,manuelle,2022.0,1.5,mg,e-zs,7.0,Berline,Essence,11.407576060361786
12.468440756144114,103000.0,Blanc,Avec kilométrage,automatique,2019.0,2.0,land rover,range rover sport,17.0,4 x 4,Hybride essence,11.542493975902508
11.06665398721974,248000.0,Gris,Avec kilométrage,automatique,2007.0,3.0,audi,q7,16.0,4 x 4,Diesel,12.421188057397055
10.505094936455558,108000.0,Bleu,Avec kilométrage,automatique,2022.0,0.8,suzuki,celerio,4.0,Compacte,Essence,11.58989576532275
10.799595985047786,178000.0,Blanc,Avec kilométrage,manuelle,2014.0,1.8,audi,a4,7.0,Berline,Essence,12.08954444723597
10.275085591132715,192000.0,Blanc,Avec kilométrage,manuelle,2012.0,1.2,fiat,500,4.0,Compacte,Essence,12.165255859329688
10.53212287826962,101000.0,Blanc,Avec kilométrage,manuelle,2021.0,0.8,renault,clio,5.0,Compacte,Essence,11.522885696764481
11.767575435251748,176000.0,Blanc,Avec kilométrage,automatique,2018.0,1.6,mercedes-benz,classe e,9.0,Berline,Essence,12.07824495582233
11.050905878263567,16300.0,Blanc,Nouveau,automatique,2017.0,1.2,nissan,qashqai,6.0,Compacte,Essence,9.69898173460629
10.275085591132715,176000.0,Blanc,Avec kilométrage,manuelle,2011.0,1.1,fiat,500c,4.0,Compacte,Essence,12.07824495582233
11.205054290550551,145000.0,Noir,Nouveau,manuelle,2021.0,0.8,volkswagen,golf 8,6.0,Compacte,Essence,11.884495917930655
10.491301994830229,150000.0,Marron,Avec kilométrage,manuelle,2014.0,1.2,kia,rio,5.0,Berline,Essence,11.918397239722838
11.082157933374816,20000.0,Gris,Nouveau,manuelle,2024.0,1.0,volkswagen,inconnu,6.0,inconnu,Essence,9.90353755128617
10.571342565808699,90000.0,Blanc,Avec kilométrage,manuelle,2021.0,1.2,dacia,logan mcv,5.0,Berline,Essence,11.407576060361786
11.982935344196433,72000.0,Bleu,Avec kilométrage,automatique,2020.0,0.8,audi,q3,12.0,4 x 4,Electrique,11.184435286790631
10.809748150372926,350000.0,Blanc,Avec kilométrage,manuelle,2018.0,2.2,mazda,bt-50,9.0,4 x 4,Diesel,12.765691290604371
11.635151947212842,243000.0,Gris,Avec kilométrage,manuelle,2019.0,2.4,toyota,hilux,8.0,4 x 4,Diesel,12.400820837540556
10.896757843893464,130000.0,Bleu,Avec kilométrage,manuelle,2022.0,1.2,kia,rio,5.0,Compacte,Essence,11.775297421715827
10.53212287826962,34000.0,Blanc,Avec kilométrage,manuelle,2023.0,0.8,suzuki,celerio,4.0,Compacte,Essence,10.434145214930487
11.251573687764477,86000.0,Noir,Avec kilométrage,automatique,2019.0,1.5,haval,h6,9.0,Autres,Essence,11.362114203075018
11.507922973347437,93000.0,Vert,Avec kilométrage,manuelle,2020.0,0.8,audi,a3,6.0,Berline,Essence,11.440365524765756
11.225256725762893,100000.0,Autre,Avec kilométrage,automatique,2023.0,0.8,seat,arosa,6.0,Berline,Essence,11.51293546492023
10.905974329106854,50000.0,Blanc,Avec kilométrage,automatique,2024.0,1.2,kia,picanto,4.0,Compacte,Essence,10.819798284210286
10.668978650219241,110000.0,Vert,Avec kilométrage,manuelle,2023.0,1.2,hyundai,grand i10,5.0,Compacte,Essence,11.608244735642321
10.221977646629885,100000.0,Blanc,Avec kilométrage,manuelle,2021.0,1.2,mahindra,hover,5.0,Compacte,Essence,11.51293546492023
12.013706813470414,49000.0,Noir,Avec kilométrage,automatique,2020.0,2.0,land rover,range rover evoque,11.0,Berline,Hybride essence,10.799595985047786
11.599112335481124,10000.0,Bleu,Avec kilométrage,automatique,2025.0,1.5,toyota,yaris,5.0,Berline,Hybride essence,9.210440366976517
10.933124826700707,182000.0,Gris,Avec kilométrage,manuelle,2013.0,1.2,volkswagen,golf 8,5.0,Compacte,Essence,12.111767460549332
10.968215530759236,33000.0,Noir,Avec kilométrage,automatique,2021.0,0.8,chery,tiggo,6.0,Berline,Essence,10.404293143019792
11.277215789596893,180000.0,Noir,Avec kilométrage,automatique,2014.0,1.6,mercedes-benz,classe c,8.0,Berline,Essence,12.100717685412471
11.759793355371237,174000.0,Blanc,Avec kilométrage,automatique,2016.0,2.0,mercedes-benz,classe e,10.0,Berline,Essence,12.066816325306588
10.768506042432708,175000.0,Violet,Avec kilométrage,manuelle,2015.0,1.5,nissan,qashqai,7.0,Berline,Diesel,12.07254696717504
11.184435286790631,280000.0,Blanc,Avec kilométrage,automatique,2019.0,1.4,volkswagen,passat,8.0,Berline,Essence,12.54254845357358
11.225256725762893,103000.0,Noir,Avec kilométrage,manuelle,2017.0,2.0,jeep,wrangler,7.0,4 x 4,Diesel,11.542493975902508
10.505094936455558,180000.0,Blanc,Avec kilométrage,manuelle,2010.0,1.6,bmw,serie 1,7.0,Compacte,Essence,12.100717685412471
11.034905792929415,118000.0,Noir,Avec kilométrage,automatique,2018.0,1.2,volkswagen,golf 7,6.0,Berline,Essence,11.678448377988165
10.668978650219241,180000.0,Noir,Avec kilométrage,automatique,2012.0,1.8,audi,a4,7.0,Berline,Essence,12.100717685412471
11.251573687764477,116000.0,Noir,Avec kilométrage,automatique,2021.0,1.5,chery,tiggo,9.0,Berline,Essence,11.661354090741
11.461642696843066,70000.0,Noir,Avec kilométrage,automatique,2021.0,1.6,kia,sportage,11.0,4 x 4,Essence,11.156264806643742
11.211833885608513,77000.0,Noir,Avec kilométrage,automatique,2015.0,2.0,bmw,serie 3,10.0,Berline,Essence,11.251573687764477
12.301387370778713,45000.0,Gris,Avec kilométrage,automatique,2022.0,1.5,mercedes-benz,classe c,9.0,Berline,Essence,10.714439990727769
11.225256725762893,90000.0,Bleu,Avec kilométrage,automatique,2023.0,0.8,seat,ibiza,6.0,Compacte,Essence,11.407576060361786
10.933124826700707,161002.0,Blanc,Nouveau,automatique,2020.0,1.5,mg,zs,7.0,Compacte,Essence,11.989178277333371
10.477316144080852,357000.0,Gris,Avec kilométrage,manuelle,2004.0,2.2,nissan,x-trail,9.0,4 x 4,Diesel,12.785493861878301
10.566201298475118,160000.0,Noir,Avec kilométrage,manuelle,2020.0,1.2,renault,clio,5.0,Compacte,Essence,11.982935344196433
